,T [°C],P [bar],h [kJ/kg],s [kJ/kgK]
1. Comp Inlet,78.681,5.619,490.223,1.902
2. Comp Outlet,123.88,15.75,515.897,1.918
3. EXV Inlet,118.0,15.75,384.801,1.585
4. EXV Outlet,73.681,5.619,384.801,1.598
